"RelativePath","Size","LastWriteTime","SHA256"
"Debug\ch-hall.ico","4286","2010-08-28 13:47:40","E72CDCD62963DE443CAA3E0986CC7D9E8935D2523778DFC5DCF436F77B83D1AE"
"Debug\datapick.pdb","95744","2017-02-14 09:21:28","E07FA263C22C47B794FFA5408CA2AE9F1DB485DFA7945E7379BCC0584F51822D"
"Debug\datapick.vshost.exe.manifest","490","2013-06-18 20:28:15","C0085EB467D2FC9C9F395047E057183B3CD1503A4087D0DB565161C13527A76F"
"Debug\Interop.Excel.dll","1093632","2010-05-24 12:46:16","B3C5D3B27732F4BAE2BCC96F8EDD1BB36FF9E4B7B557F7B8D1B6EAA5507A7879"
"Debug\Interop.Microsoft.Office.Core.dll","217088","2010-05-24 12:46:14","85B71F7A1CC524C5A880D6640560D123A2B78D9D8B12701A0F758B3451F8F230"
"Debug\Microsoft.Office.Interop.Excel.dll","1048576","2002-09-06 12:52:56","2B7993781DD52417D0ECAE87A98692EA99DEF9A0F1EA22A4C47FADBB0F75BB90"
"Debug\SystemConfig.xml","312","2026-05-21 20:25:34","2C9ED8D576119CCF6576D8BD0920DF0C896FAA37C0D0ADBD974D830FD32FB3AD"
"Debug\Thumbs.db","5120","2017-02-14 09:28:12","98A696EDD41E335E89A3C4C974BE0B020BAF73BB523127DB4B2702B3C56BEE65"
"Debug\ZedGraph.dll","307200","2007-11-28 17:43:32","07ADA5E13ACCEEF1DC2EE84A4740626BB3D9E47BB70B4E63D50F37798174A170"
"Debug\ZedGraph.resources.dll","4096","2007-11-28 17:43:34","B68ED814A7C2E494B099DE53808136CD1F991C47CE689CFEA8B9A105849228B7"
"Debug\数据读取软件.exe","75264","2017-07-31 09:44:18","A656AF0A0A3339E0E07FDBEFA7C6A965EAE88038F021A6030D60FA170BB2CEDA"
"Debug\数据读取软件.pdb","91648","2017-07-31 09:44:18","F30D7EC0113A2FD6CDB7CB9968F5598DFEC6EBE7D2C1410EE15F1959AA0C3D57"
"Debug\数据读取软件.vshost.exe","22704","2017-07-31 10:48:13","327983CFF9C61C976B1CD64386A40CA18858178A2029FF4ECE2C19388D0C61BD"
"Debug\数据读取软件.vshost.exe.manifest","490","2013-06-18 20:28:15","C0085EB467D2FC9C9F395047E057183B3CD1503A4087D0DB565161C13527A76F"
